Date,Open,High,Low,Close*,Adj Close**,Statues
26-Mar-21,76.1375,76.174,75.601,76.1171,76.1171,Before
29-Mar-21,75.6635,76.082,75.6464,75.6611,75.6611,Before
30-Mar-21,75.6575,76.161,75.3669,75.6546,75.6546,Before
31-Mar-21,75.961,75.9665,75.222,75.904,75.904,Before
1-Apr-21,75.6885,76.41,75.5481,75.6749,75.6749,Before
2-Apr-21,76.2498,76.474,75.9039,76.2643,76.2643,Before
5-Apr-21,76.4084,76.684,75.9983,76.4152,76.4152,Before
6-Apr-21,76.445,77.2853,76.163,76.4341,76.4341,Before
7-Apr-21,77.1056,78.01,76.8966,77.0005,77.0005,Before
8-Apr-21,77.1742,77.3228,76.6241,77.1581,77.1581,Before
9-Apr-21,76.7929,77.446,76.7794,76.792,76.792,Before
12-Apr-21,77.3865,77.7315,77.042,77.387,77.387,Before
13-Apr-21,77.2795,77.502,75.808,77.2912,77.2912,Before
14-Apr-21,75.941,76.0027,75.443,75.9185,75.9185,Before
15-Apr-21,76.0133,77.472,75.8755,76.0142,76.0142,Before
16-Apr-21,76.0675,76.4574,75.316,76.0785,76.0785,Before
19-Apr-21,75.9549,76.381,75.7727,75.955,75.955,Before
20-Apr-21,76.2705,77.014,75.9131,76.2721,76.2721,Before
21-Apr-21,77.098,77.1032,76.3217,76.823,76.823,Before
22-Apr-21,76.5939,76.736,75.4403,76.569,76.569,Before
23-Apr-21,75.5055,75.5265,74.6521,75.5055,75.5055,Before
26-Apr-21,74.8903,75.37,74.628,74.9082,74.9082,Before
27-Apr-21,75.0025,75.2494,74.7692,74.9752,74.9752,Before
28-Apr-21,74.7778,74.978,74.5247,74.7792,74.7792,Before
29-Apr-21,74.3572,74.646,74.1784,74.3635,74.3635,Before
30-Apr-21,74.7106,75.1723,74.481,74.7293,74.7293,Before
3-May-21,75.1969,75.8476,74.623,75.1975,75.1975,Before
4-May-21,74.8584,75.338,74.6983,74.8943,74.8943,Before
5-May-21,74.7299,74.97,74.5908,74.7323,74.7323,Before
6-May-21,74.8199,74.8629,74.235,74.8037,74.8037,Before
7-May-21,74.1876,74.295,73.5048,74.1887,74.1887,Before
10-May-21,73.6562,74.214,73.525,73.5707,73.5707,Before
11-May-21,74.2458,74.3872,73.828,74.2765,74.2765,Before
12-May-21,74.166,74.492,73.92,74.1674,74.1674,Before
13-May-21,74.6388,74.651,73.828,74.6005,74.6005,Before
14-May-21,73.9975,74.1,73.7176,73.9978,73.9978,Before
17-May-21,73.9577,74.098,73.749,73.9577,73.9577,Before
18-May-21,73.7879,73.862,73.597,73.7826,73.7826,Before
19-May-21,73.6844,73.872,73.5268,73.6714,73.6714,Before
20-May-21,73.738,73.9319,73.4313,73.7317,73.7317,Before
21-May-21,73.4718,73.662,73.3353,73.469,73.469,Before
