Date,Open,High,Low,Close*,Adj Close**,Statues
22-Mar-21,1.1776,1.1826,1.1773,1.1826,1.1826,Before
29-Mar-21,1.1788,1.1794,1.1705,1.176,1.176,Before
5-Apr-21,1.1766,1.1923,1.1739,1.1902,1.1902,Before
12-Apr-21,1.1896,1.1995,1.1873,1.1982,1.1982,Before
19-Apr-21,1.1968,1.21,1.1943,1.2098,1.2098,Before
26-Apr-21,1.209,1.2152,1.2021,1.2021,1.2021,Before
3-May-21,1.2026,1.217,1.1987,1.2164,1.2164,Before
10-May-21,1.2168,1.218,1.2053,1.2146,1.2146,Before
17-May-21,1.2148,1.2248,1.2128,1.2182,1.2182,Before
24-May-21,1.2181,1.2267,1.2133,1.2193,1.2193,Before
31-May-21,1.219,1.2254,1.2106,1.2167,1.2167,Before
7-Jun-21,1.2166,1.2219,1.2095,1.2109,1.2109,Before
14-Jun-21,1.2111,1.2149,1.1851,1.1865,1.1865,Before
21-Jun-21,1.1869,1.1974,1.1849,1.1937,1.1937,Before
28-Jun-21,1.1942,1.1946,1.1819,1.187,1.187,Before
5-Jul-21,1.1856,1.1896,1.1782,1.1878,1.1878,Before
12-Jul-21,1.1874,1.1882,1.1773,1.1806,1.1806,Before
19-Jul-21,1.1812,1.183,1.1754,1.1772,1.1772,Before
26-Jul-21,1.1773,1.1911,1.1765,1.1868,1.1868,Before
2-Aug-21,1.1865,1.1902,1.1756,1.1764,1.1764,Before
9-Aug-21,1.1751,1.1803,1.1706,1.1797,1.1797,Before
16-Aug-21,1.1796,1.1804,1.1665,1.1698,1.1698,Before
23-Aug-21,1.17,1.1804,1.1696,1.1796,1.1796,Before
30-Aug-21,1.18,1.1908,1.1785,1.1885,1.1885,Before
6-Sep-21,1.1886,1.1888,1.1803,1.1816,1.1816,Before
13-Sep-21,1.1813,1.1847,1.1727,1.1727,1.1727,Before
20-Sep-21,1.1729,1.1751,1.1684,1.1721,1.1721,Before
27-Sep-21,1.1722,1.1728,1.1564,1.1597,1.1597,Before
4-Oct-21,1.1607,1.164,1.153,1.1577,1.1577,Before
11-Oct-21,1.1566,1.1625,1.1531,1.1599,1.1599,Before
18-Oct-21,1.1596,1.167,1.1573,1.1648,1.1648,Before
25-Oct-21,1.1641,1.1693,1.1547,1.1561,1.1561,Before
1-Nov-21,1.1559,1.1617,1.1514,1.1547,1.1547,Before
8-Nov-21,1.1568,1.1609,1.1434,1.1444,1.1444,Before
15-Nov-21,1.1442,1.1464,1.1252,1.1282,1.1282,Before
22-Nov-21,1.1276,1.1322,1.1188,1.1293,1.1293,Before
29-Nov-21,1.1291,1.1382,1.1246,1.1315,1.1315,Before
6-Dec-21,1.1303,1.1346,1.1231,1.1317,1.1317,Before
13-Dec-21,1.1311,1.1364,1.124,1.124,1.124,Before
20-Dec-21,1.1243,1.1346,1.1237,1.1342,1.1342,Before
27-Dec-21,1.1324,1.1379,1.1275,1.1375,1.1375,Before
3-Jan-22,1.1374,1.1376,1.1273,1.1364,1.1364,Before
10-Jan-22,1.1353,1.1484,1.1288,1.1416,1.1416,Before
17-Jan-22,1.1412,1.1435,1.1302,1.1345,1.1345,Before
24-Jan-22,1.1341,1.1341,1.1123,1.1148,1.1148,Before
31-Jan-22,1.1151,1.1484,1.1145,1.1451,1.1451,Before
7-Feb-22,1.1455,1.1494,1.1351,1.1351,1.1351,Before
14-Feb-22,1.1366,1.1393,1.1293,1.1324,1.1324,Before
21-Feb-22,1.1317,1.1386,1.111,1.1273,1.1273,After
28-Feb-22,1.1181,1.1245,1.089,1.0951,1.0951,After
7-Mar-22,1.0874,1.1116,1.0809,1.0912,1.0912,After
14-Mar-22,1.0933,1.1118,1.0903,1.1064,1.1064,After
21-Mar-22,1.1042,1.1067,1.0962,1.0985,1.0985,After
28-Mar-22,1.0982,1.1183,1.0945,1.105,1.105,After
4-Apr-22,1.1047,1.1057,1.0837,1.0876,1.0876,After
11-Apr-22,1.0885,1.0933,1.0759,1.0817,1.0817,After
18-Apr-22,1.0815,1.0935,1.0762,1.0803,1.0803,After
25-Apr-22,1.0811,1.0812,1.0473,1.0546,1.0546,After
2-May-22,1.0536,1.064,1.0485,1.055,1.055,After
9-May-22,1.0532,1.0586,1.0352,1.0412,1.0412,After
16-May-22,1.0401,1.0599,1.0391,1.0564,1.0564,After
23-May-22,1.057,1.0765,1.0569,1.0739,1.0739,After
30-May-22,1.0731,1.0785,1.0632,1.0722,1.0722,After
6-Jun-22,1.0726,1.077,1.0508,1.0521,1.0521,After
13-Jun-22,1.049,1.0552,1.0383,1.0496,1.0496,After
20-Jun-22,1.0491,1.0603,1.0472,1.0559,1.0559,After
27-Jun-22,1.0566,1.0614,1.037,1.043,1.043,After
4-Jul-22,1.0434,1.0464,1.008,1.0187,1.0187,After
11-Jul-22,1.0166,1.0168,0.9954,1.0089,1.0089,After
18-Jul-22,1.0096,1.0275,1.0082,1.0216,1.0216,After
25-Jul-22,1.02,1.0256,1.0107,1.0227,1.0227,After
1-Aug-22,1.0208,1.0293,1.0123,1.018,1.018,After
8-Aug-22,1.0171,1.0369,1.016,1.0264,1.0264,After
15-Aug-22,1.0256,1.0267,1.0036,1.0042,1.0042,After
22-Aug-22,1.0035,1.0088,0.9903,0.9967,0.9967,After
29-Aug-22,0.9939,1.0077,0.9915,0.9959,0.9959,After
5-Sep-22,0.9909,1.0155,0.9865,1.0155,1.0155,After
12-Sep-22,1.0071,1.0197,0.9946,1.0016,1.0016,After
19-Sep-22,1.0022,1.005,0.9691,0.9691,0.9691,After
26-Sep-22,0.969,0.985,0.954,0.9805,0.9805,After
3-Oct-22,0.9793,0.9994,0.9732,0.974,0.974,After
10-Oct-22,0.9735,0.9804,0.9636,0.9725,0.9725,After
17-Oct-22,0.9739,0.9874,0.9707,0.9863,0.9863,After
24-Oct-22,0.986,1.0095,0.9809,0.9966,0.9966,After
31-Oct-22,0.9955,0.9985,0.9731,0.9985,0.9985,After
7-Nov-22,0.9929,1.0375,0.9919,1.0375,1.0375,After
14-Nov-22,1.0329,1.0475,1.0274,1.0347,1.0347,After
21-Nov-22,1.0331,1.0448,1.0227,1.0416,1.0416,After
28-Nov-22,1.0368,1.0545,1.0292,1.0539,1.0539,After
5-Dec-22,1.0544,1.0594,1.0444,1.0549,1.0549,After
12-Dec-22,1.0522,1.0726,1.0507,1.0601,1.0601,After
19-Dec-22,1.0585,1.0671,1.0577,1.0668,1.0668,After
26-Dec-22,1.0668,1.0728,1.0609,1.0728,1.0728,After
2-Jan-23,1.071,1.0712,1.0485,1.0666,1.0666,After
9-Jan-23,1.0656,1.0868,1.0653,1.085,1.085,After
16-Jan-23,1.0825,1.0884,1.0767,1.0879,1.0879,After
23-Jan-23,1.0865,1.0933,1.0839,1.0874,1.0874,After
30-Jan-23,1.0871,1.1027,1.0804,1.083,1.083,After
6-Feb-23,1.0791,1.08,1.0669,1.0703,1.0703,After
13-Feb-23,1.0678,1.0798,1.0614,1.0722,1.0722,After
20-Feb-23,1.0684,1.0705,1.0538,1.0586,1.0586,After
27-Feb-23,1.0555,1.0691,1.0534,1.0652,1.0652,After
6-Mar-23,1.0626,1.0699,1.0527,1.0659,1.0659,After
13-Mar-23,1.0684,1.0782,1.052,1.0754,1.0754,After
20-Mar-23,1.0679,1.0929,1.0632,1.0782,1.0782,After
25-Mar-23,1.0763,1.0763,1.0763,1.0763,1.0763,After
