Date,Open,High,Low,Close*,Adj Close**,Volume,Statues
8-Nov-21,"4,619.65","4,822.36","4,619.65","4,812.09","4,812.09","19,290,896,267",Before
9-Nov-21,"4,810.07","4,837.59","4,718.04","4,735.07","4,735.07","20,834,172,627",Before
10-Nov-21,"4,733.36","4,859.50","4,485.09","4,636.17","4,636.17","22,748,160,545",Before
11-Nov-21,"4,635.45","4,778.06","4,580.99","4,730.38","4,730.38","17,933,201,129",Before
12-Nov-21,"4,724.31","4,808.74","4,510.92","4,667.12","4,667.12","18,316,060,208",Before
13-Nov-21,"4,666.72","4,702.12","4,582.18","4,651.46","4,651.46","14,457,436,261",Before
14-Nov-21,"4,648.63","4,689.84","4,516.94","4,626.36","4,626.36","12,172,962,219",Before
15-Nov-21,"4,627.09","4,764.64","4,546.60","4,557.50","4,557.50","16,275,851,299",Before
16-Nov-21,"4,570.48","4,891.70","4,144.33","4,216.37","4,216.37","27,417,502,801",Before
17-Nov-21,"4,213.91","4,300.31","4,107.13","4,287.59","4,287.59","22,183,461,850",Before
18-Nov-21,"4,287.80","4,343.56","3,959.23","4,000.65","4,000.65","21,383,250,893",Before
19-Nov-21,"3,995.73","4,311.71","3,982.92","4,298.31","4,298.31","20,626,269,711",Before
20-Nov-21,"4,298.35","4,434.39","4,209.24","4,409.93","4,409.93","15,448,261,277",Before
21-Nov-21,"4,412.20","4,422.49","4,255.46","4,269.73","4,269.73","14,094,831,413",Before
22-Nov-21,"4,266.51","4,302.02","4,033.57","4,088.46","4,088.46","19,752,218,877",Before
23-Nov-21,"4,089.68","4,385.48","4,069.77","4,340.76","4,340.76","22,133,497,059",Before
24-Nov-21,"4,340.04","4,376.88","4,176.18","4,239.98","4,239.98","21,838,037,128",Before
25-Nov-21,"4,271.39","4,550.52","4,249.77","4,274.74","4,274.74","18,705,358,318",Before
26-Nov-21,"4,522.21","4,550.84","3,933.51","4,030.91","4,030.91","26,281,795,488",Before
27-Nov-21,"4,043.00","4,187.68","4,033.51","4,096.91","4,096.91","16,515,693,874",Before
28-Nov-21,"4,101.65","4,297.92","3,989.97","4,294.45","4,294.45","15,953,126,340",Before
29-Nov-21,"4,296.95","4,460.85","4,284.50","4,445.10","4,445.10","19,086,475,837",Before
30-Nov-21,"4,447.77","4,753.27","4,358.07","4,631.48","4,631.48","28,626,354,111",Before
1-Dec-21,"4,623.68","4,780.73","4,530.27","4,586.99","4,586.99","27,634,826,695",Before
2-Dec-21,"4,586.33","4,628.92","4,441.51","4,511.30","4,511.30","21,502,671,027",Before
3-Dec-21,"4,514.36","4,647.29","4,100.15","4,220.71","4,220.71","25,879,591,528",Before
4-Dec-21,"4,227.76","4,242.73","3,525.49","4,119.59","4,119.59","38,478,999,182",Before
5-Dec-21,"4,119.63","4,246.92","4,040.22","4,198.32","4,198.32","25,533,062,707",Before
6-Dec-21,"4,199.00","4,375.52","3,930.81","4,358.74","4,358.74","28,229,518,513",Before
7-Dec-21,"4,358.59","4,428.59","4,264.32","4,315.06","4,315.06","22,366,213,354",Before
8-Dec-21,"4,311.67","4,453.11","4,234.54","4,439.36","4,439.36","18,704,315,119",Before
9-Dec-21,"4,433.02","4,482.31","4,078.84","4,119.82","4,119.82","22,296,131,874",Before
10-Dec-21,"4,113.59","4,227.11","3,897.77","3,908.50","3,908.50","28,014,595,631",Before
11-Dec-21,"3,909.67","4,095.65","3,846.05","4,084.45","4,084.45","19,131,502,454",Before
12-Dec-21,"4,084.81","4,173.61","3,993.06","4,134.45","4,134.45","14,057,603,914",Before
13-Dec-21,"4,136.36","4,145.96","3,680.61","3,784.23","3,784.23","23,999,841,386",Before
14-Dec-21,"3,782.82","3,866.63","3,700.10","3,745.44","3,745.44","23,836,759,957",Before
15-Dec-21,"3,862.25","4,086.37","3,664.72","4,018.39","4,018.39","26,411,188,833",Before
16-Dec-21,"4,020.42","4,110.37","3,956.06","3,962.47","3,962.47","19,825,531,254",Before
17-Dec-21,"3,959.01","3,992.79","3,711.42","3,879.49","3,879.49","23,143,541,098",Before
